# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
tomar_hasi_amar_hasi	Tomar hasi amar khushi, shobar theke beshi।	en-US	
tomar_hasi_moni	Tomar hasi amar moner khushi।	en-US	
tomar_kotha_mone	Tomar kotha mone pore, chokh bhije jai।	en-US	
tomar_kotha_vabhi	Tomar kotha vabhi, mon bhije jai bhalobashay।	en-US	
tomar_sathe_kotha_boli	Tomar sathe kotha boli, mon hoy anondo bhori।	en-US	
tomar_shonge_kotha	Tomar shonge kotha bole mon shanti pai।	en-US	
tomarami	Tumi amar, ar ami tomari. Eta chhara ami thik thakbo na 💔	en-US	
tomarhaat	Tomar haat dhore shudhu choltei thakte chai... kono direction chara 🫰		en-US	
tomarjonno	Tomar ekta hasi dekhar jonnoi ami shopno banate pari 💭		en-US	
tumi	Amake chintao na, ami shobshomoy tomar sathe achhi।	en-US	
tumi	kemon aso? Amar mon tomar shantir dike chay।	en-US	
tumi_achho_bari	Tumi achho bari, amar jibon aram।	en-US	
tumi_amar_alo	Tumi amar alo, je andhokar dure thak।	en-US	
tumi_amar_alor_dip	Tumi amar alor dip, andhokar dure thak।	en-US	
tumi_amar_ghore	 Tumi amar ghore phool, jekhane bhalobasha thake।	en-US	
tumi_amar_jibon	Tumi amar jibon, amar shokal ar rat।	en-US	
tumi_amar_sathi	Tumi amar sathi, shokal theke rat porjonto।	en-US	
tumi_amar_shanti	Tumi amar shanti, amar moner buke।	en-US	
tumi_amar_shanti_shokti	Tumi amar shanti ar shokti, amar jiboner prithibi।	en-US	
tumi_amar_shopno	Tumi amar shopno, amar bhalobashar alo।	en-US	
tumi_amar_ushno_hawa	Tumi amar ushno hawa, je shukher ghoray ashe।	en-US	
tumi_chirodin_amar	Tumi amar chirodin, amar shopno ar alo।	en-US	
tumi_mone_asi	Tumi amar moner priyo, sobshomoy mone asi।	en-US	
tumikaro	Ami jani na tumi nijeke kivabe dekho, but amar chokhe tumi onek keu 🫶		en-US	
twh	Tawakkul ala Allah – shob vorsa Allah er upor	en-US	
ty	Dhonnobad	en-US	
tyy	Thank you	en-US	
unkelbondhu	Unkel, apni amar bondhu o guru, shobshomoy ashirbad din 🌟	en-US	
unkelmonerbondhu	Apni amar moner bondhu, shobshomoy bhalo thakun 🙏	en-US	
unkelprottasha	Apnar prottasha amar jiboner alo 🌞	en-US	
unkelshanti	Apnar shanti amar moner shanti 🕊️	en-US	
unkelsneho	Unkel, apnar sneho amar jonno amar shanti o balobasha 🤝	en-US	
v	Vaire Asi. 	en-US	
valobashi	Ami tomake valobashi, chirodin tomari pashe thakbo।	en-US	
valojan1	Tumi valo ekjon... ar ami jodi bhul bujhe kichu boli, please mone rekho ami tomar kharap chai nai kokhono 😢	en-US	
vatbos	vat khaite boschi	en-US	
vatbosbo	vat khaite bostasi.	en-US	
vatkh	vat khaite jaitasi	en-US	
vid	Video Call 🤙 Daw.	en-US	
vidcall	Video call er jonno read	en-US	
vishwas	Ami tomake vishwas kori, shob thik thakbe।	en-US	
vt	Vhalo Thaiko	en-US	
vulhoy	Ami vul korte pari, kintu amar bhalobasha kokhono vul chilo na 🙏		en-US	
vulparbe	Jodi vul bujhe thako, ekdin bojhbe—amar bhalobasha chhilo sotti 🥀		en-US	
w8	Ekto opekkha koro, ami astesi	en-US	
w8as	ami astesi ektu opekkha koro amar jonno	en-US	
w8astasi	kichukkhon er moddhei astesi ektu opekkha koro amar jonno	en-US	
w8berhoi	ber hocchii ektu opekkha koro amar jonno	en-US	
w8berhom	kichukkhon er moddhei ber hobo ektu opekkha koro amar jonno	en-US	
w8c	call dicchi ektu opekkha koro amar jonno	en-US	
w8call	call back dicchi.  ektu opekkha koro amar jonno	en-US	
w8jan	kichukkhon er moddhei janacchi ektu opekkha koro amar jonno	en-US	
w8janai	kotha bole Tomake janacchi ektu opekkha koro amar jonno	en-US	
w8nk	knock dicchi ektu opekkha koro amar jonno	en-US	
wa	Waalikum As Salaam.	en-US	
waa	Wa Alaikumussalam wa Rahmatullah	en-US	
wait	akto wait koro	en-US	
wb	abar firar jonno dhonnobad	en-US	
wc	Apnakeo dhonnobad	en-US	
wcc	You're welcome	en-US	
wdym	ki bolte chao tumi?	en-US	
wish	ja iccha tai koro	en-US	
wlcm	apnake swagotom	en-US	
world	tomar sathe sara jibon thakte chai	en-US	
ye	ha ami raji	en-US	
yes	ha, obviously!	en-US	
